Employer,total_approvals,states,cities,zip_codes
OLIVE AL INC,2,OH,COLUMBUS,43215.0
OLIVE TREE LLC,1,MA,BROOKLINE,2445.0
OLIVER COLLECTION CORP.,1,FL,STUART,34994.0
OLIVER LAGORE VANVALIN INVESTMENT,1,MI,FLINT,48502.0
OLIVER WYMAN ACTUARIAL CONSULTING,3,NY,NEW YORK,10036.0
OLIVER WYMAN ACTUARIAL CONSULTING INC,2,NY,NEW YORK,10036.0
OLIVER WYMAN INC,18,NY,NEW YORK,10036.0
OLIVET ACADEMY,4,NY,WINGDALE,12594.0
OLIVET INTERNATIONAL INC,2,CA,MIRA LOMA,91752.0
OLIVET NAZARENE UNIVERSITY,1,IL,BOURBONNAIS,60914.0
OLIVET UNIVERSITY,11,CA,ANZA,92539.0
OLIVETREE FINANCIAL LLC,1,NY,NEW YORK,10170.0
"OLIVIA AI, INC.",1,TX,PLANO,75024.0
OLIX US INC,1,MA,CAMBRIDGE,2142.0
OLLI SALUMERIA AMERICANA LLC,1,CA,OCEANSIDE,92056.0
OLLIEROO INC,1,CA,FULLERTON,92835.0
OLME US LLC,1,NY,NEW YORK,10018.0
OLMM CONSULTING ENGINEERS,1,CA,SAN FRANCISCO,94102.0
OLNEY HAMILTON HOSPITAL,2,TX,OLNEY,76374.0
OLOGY BIOSERVICES,1,FL,ALACHUA,32615.0
OLON RICERCA BIOSCIENCE LLC,2,OH,PAINESVILLE,44077.0
OLONG TRADING INC,1,NY,FLUSHING,11354.0
OLSA RESOURCES INC,1,OR,HILLSBORO,97124.0
OLSEN ASSOCIATES INC,1,FL,JACKSONVILLE,32204.0
OLSEN BROTHERS RANCHES INC,1,WA,PROSSER,99350.0
OLSON ENGINEERING INC,1,TX,BRIDGE CITY,77611.0
OLSON KUNDIG INC,1,WA,SEATTLE,98104.0
OLSSON INC,3,NE,LINCOLN,68508.0
OLU A OYEGUNWA DDS PLLC,1,NC,WILMINGTON,28411.0
OLYMPIA ANESTHESIA ASSOCIATES P C,2,WA,OLYMPIA,98506.0
OLYMPIC ANESTHESIA SERVICES INC DBA OLYMPIC ANESTHESIA,1,WA,BREMERTON,98310.0
OLYMPIC AUTO SALES INC,1,GA,DECATUR,30032.0
OLYMPIC COLLEGE,1,WA,BREMERTON,98337.0
OLYMPUS CONSTRUCTION INCORPORATED,1,AR,JONESBORO,72401.0
OLYMPUS CORP OF THE AMERICAS,2,PA,CENTER VALLEY,18034.0
OM CONSULTING ENGINEERS GROUP LLC,1,NJ,JERSEY CITY,7306.0
OM ENGINEERING SERVICES INC,1,FL,ORLANDO,32801.0
OM GROUP INC,1,NJ,PISCATAWAY,8854.0
OM IMPORTS INC,1,FL,STARKE,32091.0
OM PARTNERS USA INC,26,GA,ATLANTA,30339.0
OM PHYSICAL THERAPY PLLC,1,NY,BROOKLYN,11236.0
OM PRIMARY CARE LLC,1,GA,SUWANEE,30024.0
OM SOFTWARE SERVICES INC,1,IL,SCHAUMBURG,60173.0
OM SUN PROPERTY LLC,1,NV,BOULDER CITY,89005.0
OM TEK INC,25,TX,IRVING,75038.0
OM TRADING INC D/B/A OM PRODUCE,1,TX,IRVING,75063.0
OM TRADING INC DBA OM PRODUCE,3,TX,IRVING,75063.0
OM VENTURES 2 LLC,1,GA,LAVONIA,30553.0
OMA AMO ARCHITECTURE PC,7,NY,NEW YORK,10014.0
OMA4 LLC,36,GA,ALPHARETTA,30005.0
OMADA HEALTH INC,1,CA,SAN FRANCISCO,94111.0
OMAHA CATHOLIC SCHOOL CONSORTIUM,1,NE,OMAHA,68107.0
OMAHA PUBLIC POWER DISTRICT,1,NE,OMAHA,68102.0
OMAHA PUBLIC SCHOOLS DISTRICT 0001,6,NE,OMAHA,68131.0
OMAHA STANDARD LLC,1,IA,COUNCIL BLUFFS,51501.0
OMAKASE LLC DBA IKEBANA ZEN,1,NY,NEW YORK,10019.0
OMAKASE2 LLC DBA IKEBANA ZEN,3,NY,NEW YORK,10001.0
OMAR KASANI CPA,1,TX,HOUSTON,77082.0
OMATIC SOFTWARE LLC,1,SC,N CHARLESTON,29405.0
OMAZE INC,4,CA,LOS ANGELES,90016.0
OMD USA LLC,12,NY,NEW YORK,10007.0
OME HOLDING CO,1,TX,AUSTIN,78758.0
OMEC MEDICAL INC,2,CA,SAN JOSE,95131.0
OMEDA HOLDINGS LLC,1,IL,LINCOLNSHIRE,60069.0
OMEGA 365 USA INC,1,TX,HOUSTON,77024.0
OMEGA ALPHA ACADEMY,1,AZ,DOUGLAS,85607.0
OMEGA CONCRETE SYSTEMS INC,1,KS,KANSAS CITY,66102.0
OMEGA ENGINEERS INC,2,TX,HOUSTON,77084.0
OMEGA GLOBAL SYSTEMS INC,3,IL,NORTHBROOK,60062.0
OMEGA PLASTICS INC,2,MI,CLINTON TWP,48036.0
OMEGA SOLUTIONS INC,3,CA,SANTA CLARA,95050.0
OMEGA THERAPEUTICS INC,3,MA,CAMBRIDGE,2139.0
"OMEGA THERAPEUTICS, INC",1,MA,CAMBRIDGE,2140.0
OMEGA THERMO PRODUCTS LLC,1,WI,STRATFORD,54484.0
OMEGAPOINT AB JAKOBSBERGSGATAN 24,1,MA,BOSTON,2110.0
OMEGASOFT INTERNATIONAL INC,5,FL,TEMPLE TERR,33617.0
OMELVENY AND MYERS LLP,4,CA,LOS ANGELES,90071.0
OMER NORTH AMERICA CORP,3,MI,UTICA,48315.0
OMEROS CORP,2,WA,SEATTLE,98119.0
OMEROS CORPORATION,1,WA,SEATTLE,98119.0
OMG INC,1,MA,AGAWAM,1001.0
OMGANESH CORP DBA CLINICA PHARMACY,1,CA,DELANO,93215.0
OMGIVNING,1,CA,SAN GABRIEL,91776.0
OMH HEALTHEDGE HOLDING INC DBA OMEGA HEALTHCARE,1,FL,BOCA RATON,33431.0
OMI MANAGEMENT U S LIMITED PARTNER,1,OH,MARION,43302.0
OMICRON BIOCHEMICALS INC,1,IN,SOUTH BEND,46617.0
OMICRON MEDIA INC,1,FL,WINTER PARK,32789.0
OMICROWN LLC,1,NY,NEW YORK,10007.0
OMIN NAVITAS HOLDINGS LLC,1,MA,BOSTON,2109.0
OML INC D/B/A OLIVER,2,NY,NEW YORK,10004.0
OMLI DIAGNOSTICS LLC D B A AMPLICONDX LABS,1,TX,DALLAS,75244.0
OMMO TECHNOLOGIES INC,3,TX,CARROLLTON,75006.0
OMMTAX,1,CA,FOLSOM,95630.0
OMNETRIC CORP,1,FL,ORLANDO,32817.0
OMNEX ENGINEERING & MANAGEMENT INC,1,MI,ANN ARBOR,48108.0
OMNI APPARATECH INC,1,MO,GRANDVIEW,64030.0
OMNI CHILDHOOD CENTER INC,1,NY,BROOKLYN,11230.0
OMNI ENDODONTICS PLLC,1,TX,EL PASO,79936.0
OMNI EYE SPECIALISTS PA,1,NJ,ISELIN,8830.0
OMNI FAMILY HEALTH,10,CA,BAKERSFIELD,93309.0
OMNI FAMILY HLTH,2,CA,BAKERSFIELD,93309.0
OMNI HEALTH SERVICES INC,9,PA,COLMAR,18915.0
OMNI INSTITUTE,1,CO,DENVER,80203.0
OMNI LIFE SCIENCE INC DBA CORIN USA,1,FL,TAMPA,33625.0
OMNI MEDIA AND MARKETING LLC,1,IL,CHICAGO,60617.0
OMNI SOURCING INC,1,MS,JACKSON,39204.0
OMNI STRATEGY LLC,2,MD,BALTIMORE,21201.0
OMNI USA INC,1,TX,HOUSTON,77008.0
OMNIA MEDIA INC,1,CA,CULVER CITY,90230.0
OMNIAB INC,1,CA,EMERYVILLE,94608.0
OMNIACTIVE HEALTH TECHNOLOGIES INC,2,NJ,MORRISTOWN,7960.0
OMNIBOOM LLC,1,OH,LEBANON,45036.0
OMNIBUILD CONSTRUCTION INC,1,NY,NEW YORK,10001.0
OMNICELL INC,9,CA,MOUNTAIN VIEW,94043.0
OMNICOM MEDIA GROUP HOLDINGS INC,15,NY,NEW YORK,10007.0
OMNICRON TECHNOLOGIES LLC,10,OH,COLUMBUS,43221.0
OMNILATTICE LLC,2,FL,TAMPA,33602.0
OMNIMARKETS LLC DBA OMNI RISKS MGM,4,NY,NEW YORK,10004.0
OMNIMARKETS LLC DBA OMNIRISKS,4,NY,NEW YORK,10004.0
OMNIMARKETS LLC DBA-ONMIRISKS LLC,1,NY,NEW YORK,10004.0
OMNIMETRIX LLC,1,GA,BUFORD,30518.0
OMNIML INC,1,CA,SAN JOSE,95134.0
OMNIPATHOLOGY SOLUTIONS MEDICAL CORPORATION,1,CA,PASADENA,91105.0
OMNIPAYMENTS LLC,7,PR,SAN JUAN,901.0
OMNIS HEALTH LLC,1,TN,NASHVILLE,37210.0
OMNISCI INC,2,CA,SAN FRANCISCO,94104.0
OMNISCIENCE CORPORATION,3,CA,PALO ALTO,94306.0
OMNISKOPE INC,18,MO,SAINT LOUIS,63146.0
OMNISOFT INC,1,MI,TROY,48083.0
OMNISTRATE INC,1,CA,REDWOOD CITY,94063.0
OMNITEK CONSULTING INC,1,VA,MCLEAN,22102.0
OMNITIER INC,1,CA,MILPITAS,95035.0
"OMNITIER, INC.",1,CA,MILPITAS,95035.0
OMNITRACS LLC,4,TX,DALLAS,75201.0
OMNIUPDATE INC D/B/A MODERN CAMPUS,1,CA,CAMARILLO,93012.0
OMNIVISION TECHNOLOGIES INC,51,CA,SANTA CLARA,95054.0
OMNY IQ INC,1,CA,SARATOGA,95070.0
OMNYWAY INC,1,CA,SAN MATEO,94403.0
OMORFEE AMERICA LLC,2,GA,ALPHARETTA,30009.0
OMRON ELECTRONICS LLC,2,IL,HOFFMAN EST,60169.0
OMRON MANAGEMENT CENTER OF AMERICA,2,IL,HOFFMAN EST,60169.0
OMRON MGT CENTER OF AMERICA INC,1,CA,PLEASANTON,94588.0
OMRON ROBOTICS & SAFETY TECHNOLOGI,2,CA,PLEASANTON,94588.0
OMRON ROBOTICS AND SAFETY TECHNOLOGIES INC,5,CA,PLEASANTON,94588.0
OMS SOLUTIONS INC,3,MD,NEW MARKET,21774.0
OMSAI COM LLC,77,VA,CHANTILLY,20151.0
OMV AMERICA LLC,10,TX,HOUSTON,77077.0
OMYA INC,1,OH,CINCINNATI,45242.0
ON DECK CAPITAL INC,7,NY,NEW YORK,10018.0
ON DEMAND AGILITY SOLUTIONS INC,43,PA,KNG OF PRUSSA,19406.0
ON DEMAND CARE CORP PKA 911 CARE LLC DBA ONDECARE,1,OH,CHAGRIN FALLS,44022.0
ON DEMAND PHARMACEUTICALS INC,1,MD,ROCKVILLE,20850.0
ON LOK INC,1,CA,SAN FRANCISCO,94109.0
ON POINT FOR COLLEGE INC,1,NY,SYRACUSE,13202.0
ON Q FINANCIAL INC,1,AZ,TEMPE,85281.0
ON SEMICONDUCTOR CONNECTIVITY SOLU,1,CA,SAN JOSE,95131.0
ON SITE PERSONNEL OF MD INC,1,MD,JESSUP,20794.0
ON TARGET HVAC,1,NY,BROOKLYN,11218.0
ON TARGET TECHNOLOGIES INC DBA KWANT AI,1,NY,BROOKLYN,11201.0
ON THE RIGHT TRACK SYSTEMS INC,1,NY,NEW YORK,10013.0
ON TRACK THEMES INC,1,CA,BURBANK,91506.0
ON24 INC,2,CA,SAN FRANCISCO,94105.0
ONANON INC,1,CA,MILPITAS,95035.0
ONAPSIS INC,1,MA,BOSTON,2110.0
ONASSET INTELLIGENCE INC,1,TX,IRVING,75063.0
ONBOARDIQ INC D/B/A FOUNTAIN,3,CA,SAN FRANCISCO,94111.0
ONBOARDIT LLC,1,AZ,PHOENIX,85044.0
ONCARE DIGITAL ASSETS INC,1,PA,YORK,17408.0
ONCLOUD SOLUTIONS INC,1,NY,NEW HYDE PARK,11042.0
ONCOLOGY HEMATOLOGY ASSOCIATES OF,1,IL,PEORIA,61615.0
ONCOLOGY SERVICES MEDICAL GROUP IN,2,CA,ALAMO,94507.0
ONCOMYX THERAPEUTICS INC,2,AZ,PHOENIX,85004.0
ONCOR ELECTRIC DELIVERY CO LLC,1,TX,DALLAS,75202.0
ONCOR ELECTRIC DELIVERY COMPANY LLC,1,TX,DALLAS,75202.0
ONCORE CONSULTING LLC,2,CA,RANCHO CORDOVA,95670.0
ONCORRE INC,30,NJ,BRIDGEWATER,8807.0
ONCORUS INC,1,MA,CAMBRIDGE,2139.0
ONCOTRAP INC,1,NC,CHAPEL HILL,27517.0
ONDA CORPORATION,1,CA,SUNNYVALE,94089.0
ONDERMAND DERMATOLOGY PLLC,2,NY,NEW YORK,10016.0
ONDO INC,1,NY,NEW YORK,10018.0
ONDOT SYSTEMS INC,4,CA,SANTA CLARA,95054.0
ONE ALGORITHM LLC,9,PA,DOWNINGTOWN,19335.0
ONE CALL MEDICAL INC DBA ONE CALL,2,FL,JACKSONVILLE,32207.0
ONE CONCERN INC,8,CA,MENLO PARK,94025.0
ONE CONVERGENCE INC,1,CA,SAN JOSE,95113.0
ONE DAY ENTERPRISE LLC DBA ONE DAY DOORS AND CLOSETS,1,CA,ROCKLIN,95765.0
ONE DESIGN LAB INC,1,CA,LOS ANGELES,90057.0
ONE DESK TECHNOLOGIES LLC,1,CO,ENGLEWOOD,80111.0
ONE DIVERSIFIED LLC,2,CA,LOS ANGELES,90048.0
ONE DOOR,1,MA,BOSTON,2210.0
ONE EARTH FUTURE FOUNDATION,1,CO,BROOMFIELD,80021.0
ONE EARTH FUTURE FOUNDATION INC,1,CO,BROOMFIELD,80021.0
ONE FAIR WAGE INC,1,MA,CAMBRIDGE,2138.0
ONE FINANCE INC,1,CA,SACRAMENTO,95816.0
ONE GAS INC,4,OK,TULSA,74103.0
ONE H2 INC,2,NC,HICKORY,28601.0
ONE HUNDRED FEET INC,2,CA,PALO ALTO,94301.0
ONE INC SOFTWARE CORP DBA ONE INC,2,CA,FOLSOM,95630.0
ONE INC SOFTWARE CORPORATION,1,CA,FOLSOM,95630.0
ONE INC SOFTWARE CORPORATION DBA O,1,CA,FOLSOM,95630.0
ONE INC. SOFTWARE CORPORATION,1,CA,FOLSOM,95630.0
ONE LAKE MANAGEMENT LLC,1,NY,NEW YORK,10003.0
ONE LEGAL LLC,1,CA,PETALUMA,94954.0
ONE LUX STUDIO LLC,2,NY,NEW YORK,10001.0
ONE MARKET INC,2,CA,HILLSBOROUGH,94010.0
ONE MEDICAL GROUP INC,1,CA,SAN FRANCISCO,94111.0
ONE NETWORK ENTERPRISES INC,4,TX,DALLAS,75244.0
ONE ON ONE PHYSICAL THERAPY LLC DB,2,NJ,WOODBRIDGE,7095.0
ONE PLANET CORPORATION,1,PA,PITTSBURGH,15212.0
ONE PLANET OPS INC,2,CA,WALNUT CREEK,94596.0
ONE PLUS EDUCATION,3,CA,REDONDO BEACH,90278.0
ONE POINT O LLC,1,NJ,NEW BRUNSWICK,8901.0
ONE RIVER ASSET MANAGEMENT LLC,1,CT,COS COB,6807.0
ONE SIXTY OVER NINETY LLC,3,NY,NEW YORK,10010.0
ONE SKILL FACTORY DBA ONE SOCCER SCHOOLS,1,CA,SANTA BARBARA,93109.0
ONE SKY FLIGHT LLC,2,OH,CLEVELAND,44143.0
ONE SOURCE COMMERCIAL FLOORING,1,TX,PLANO,75074.0
ONE SOURCE FREIGHT LLC,1,AZ,PHOENIX,85034.0
ONE STOP HOUSING DEVELOPMENT AND CONSTRUCTION,1,FL,SARASOTA,34243.0
ONE TECHNOLOGIES LLC,2,TX,DALLAS,75231.0
ONE WEALTH ADVISORS LLC,1,CA,SAN FRANCISCO,94110.0
ONE WORKPLACE L FERRARI LLC,1,CA,SANTA CLARA,95050.0
ONE WORLD CAPITAL LLC,1,NY,NEW YORK,10001.0
ONE WORLD DESIGN & MFG GROUP LTD,1,NJ,WARREN,7059.0
ONE WORLD IDENTITY LLC,1,NY,NEW YORK,10013.0
ONE YOUNG WORLD U S,1,NY,NEW YORK,10012.0
ONEASTON USA INC,1,FL,MIAMI,33131.0
ONEBLOOD INC,1,FL,SAINT PETERSBURG,33716.0
ONEC GROUP INC,1,CA,SAN FRANCISCO,94118.0
ONECAUSE INC,1,IN,CARMEL,46032.0
"ONECAUSE, INC.",1,IN,CARMEL,46032.0
ONECHARGE INC,5,CA,IRVINE,92606.0
ONECHICAGO LLC,1,IL,CHICAGO,60606.0
ONEH2 INC,6,NC,HICKORY,28601.0
"ONEHOPE, INC.",1,CA,SANTA ANA,92704.0
ONEIL LANGAN ARCHITECTS PC,7,NY,NEW YORK,10018.0
ONEILL ROSE ARCHITECTS PC,1,NY,BROOKLYN,11215.0
ONEIROI CONSULTING SERVICES INC,1,TX,FRISCO,75034.0
ONELIN CAPITAL CORPORATION,5,WA,SEATTLE,98101.0
ONELINK SOLUTION LLC,2,CA,SAN FRANCISCO,94108.0
ONELOGIN INC,2,CA,SAN FRANCISCO,94111.0
ONELOOK INC DBA LILY AI,1,CA,MOUNTAIN VIEW,94043.0
ONEMAIN GENERAL SERVICES CORP,7,IN,EVANSVILLE,47708.0
ONEMAIN GENERAL SERVICES CORPORATI,5,IN,EVANSVILLE,47708.0
ONEMAIN GENERAL SERVICES CORPORATION,6,IN,EVANSVILLE,47708.0
ONEMARKETDATA LLC,1,NJ,HOBOKEN,7030.0
ONEORIGIN INC,1,CT,NORWALK,6851.0
ONEORIGIN LLC,6,AZ,SCOTTSDALE,85254.0
ONEPACS LLC,1,CA,PALO ALTO,94301.0
ONEPIN INC,2,MA,WESTBOROUGH,1581.0
ONEPLAN SOLUTIONS LLC,2,CA,SAN MARCOS,92078.0
ONEPLUS USA CORP,2,TX,IRVING,75039.0
ONEPOINTE SOLUTIONS LLC,2,TX,ELGIN,78621.0
ONEPOINTONE INC,2,CA,SAN JOSE,95126.0
ONERA INC,1,CA,SAN FRANCISCO,94104.0
ONESIGNAL INC,1,CA,SAN MATEO,94403.0
ONESOURCE DISTRIBUTORS LLC,1,CA,OCEANSIDE,92056.0
ONESOURCE VIRTUAL INC,6,TX,COPPELL,75019.0
ONESTONE SOLUTIONS GROUP LLC,1,AR,ROGERS,72758.0
ONESTOP FINANCIAL SERVICES INC,2,CA,CUPERTINO,95014.0
ONESTOPD SOLUTIONS INC,3,AZ,PHOENIX,85027.0
ONESUBSEA LLC,3,TX,HOUSTON,77042.0
ONETRUST LLC,68,GA,ATLANTA,30328.0
ONEUS TECHNOLOGIES LLC,3,NJ,CRANBURY,8512.0
ONEVALLEY INC FKA NESTGSV SILICON VALLEY LLC D/B/A ONEVALLEY,1,CA,SAN MATEO,94402.0
ONEVIEW COMMERCE INC,1,MA,HINGHAM,2043.0
ONEVIZION LLC,1,GA,MARIETTA,30062.0
ONEWORLD COMMUNITY HLTH CTRS INC,1,NE,OMAHA,68107.0
ONEWORLD PROPERTIES GROUP LLC,1,FL,FORT LAUDERDALE,33308.0
ONEZERO FINANCIAL SYSTEMS LLC,2,MA,CAMBRIDGE,2139.0
ONG INNOVATIONS LLC,1,WA,KENT,98042.0
ONGO SCIENCE INC,1,CA,SAN FRANCISCO,94107.0
ONI STUDIOS LLC,1,TX,CEDAR PARK,78613.0
ONICON INCORPORATED,1,FL,LARGO,33773.0
ONICX ENERGY LLC,1,FL,TAMPA,33602.0
ONLINE INSIGHT LLC,1,GA,ROSWELL,30076.0
ONLUME INC,1,WI,MADISON,53717.0
ONLY IT CONSULTING LLC,43,IL,HOFFMAN ESTATES,60169.0
ONPAY SOLUTIONS INC,1,FL,JACKSONVILLE,32256.0
ONPOINT ACCOUNTING,1,OK,OKLAHOMA CITY,73120.0
ONPOINT DIGITAL SOLUTIONS LLC,2,KS,WICHITA,67220.0
ONPOINT INSIGHTS LLC,1,MA,WILMINGTON,1887.0
ONPREM SOLUTION PARTNERS LLC DBA QVEST US LLC,1,CA,MANHATTAN BEACH,90266.0
ONPREM SOLUTIONS PARTNERS LLC,1,CA,WOODLAND HILLS,91367.0
ONPROCESS TECHNOLOGY INC,1,MA,ASHLAND,1721.0
ONROBOT LOS ANGELES INC,1,CA,LOS ANGELES,90013.0
ONS CLOTHING LLC,1,NY,NEW YORK,10012.0
ONS COMPUTER AND IT SOLUTIONS INC D B A TEAMLOGIC IT 62006,1,MD,ELLICOTT CITY,21043.0
ONS FOUNDATION FOR CLINICAL RESEARCH AND EDUCATION INC,1,CT,GREENWICH,6831.0
ONSCALE INC,4,CA,REDWOOD CITY,94063.0
ONSHORE NETWORKS OF ILLINOIS LLC D,2,IL,CHICAGO,60642.0
ONSITE IT ADVISORS LLC,3,GA,ALPHARETTA,30004.0
ONSITE MEDICAL PROVIDERS P C,1,NJ,LONGPORT,8403.0
ONSITE MEDICAL PROVIDERS PC,2,NJ,VOORHEES,8043.0
ONSITE NEONATAL TEXAS PLLC,1,NJ,VOORHEES,8043.0
ONSITEIQ INC,1,NY,NEW YORK,10017.0
ONSOLVE LLC,2,FL,ORMOND BEACH,32174.0
ONSTAK INC,6,CA,MILPITAS,95035.0
ONTARIO MONTCLAIR SCHOOL DIST,1,CA,ONTARIO,91762.0
ONTARIO MONTCLAIR SCHOOL DISTRICT,2,CA,ONTARIO,91762.0
ONTARIO SYSTEMS LLC,2,IN,MUNCIE,47305.0
ONTARIO SYSTEMS LLC DBA FINVI,1,IN,MUNCIE,47305.0
ONTO INNOVATION INC,8,CA,MILPITAS,95035.0
ONTO INNOVATION INC F K A NANOMETR,7,CA,MILPITAS,95035.0
ONTO INNOVATION INC FKA NANOMETRIC,1,CA,MILPITAS,95035.0
ONTRACK SCHEDULING INC,1,NV,CARO CITY,89704.0
ONUR ULGEN INC,2,MI,DEARBORN,48126.0
ONUR ULGEN INC DBA PRODUCTION MODELING CORP,3,MI,DEARBORN,48126.0
ONWARD TECHNOLOGIES INC,23,IL,DES PLAINES,60018.0
ONWARDPATH TECH SOLUTIONS LLC,3,WI,GREEN BAY,54303.0
ONYX CARD LLC,1,FL,HIALEAH,33016.0
ONYX CLINICAL RESEARCH,1,MI,FLINT,48532.0
ONYX CORPORATION DBA ONYX BRANDS,1,AR,N LITTLE ROCK,72113.0
ONYX TECHNOLOGY LLC,1,MD,ELKRIDGE,21075.0
ONYX360 LLC,1,UT,SALT LAKE CTY,84111.0
OOCL USA INC,1,UT,SOUTH JORDAN,84095.0
OODA HEALTH INC,3,CA,SAN FRANCISCO,94104.0
OODDA INC,9,CA,WALNUT,91789.0
OOMA INC,8,CA,SUNNYVALE,94085.0
OOSHIRTS INC D/B/A SCALABLE PRESS,2,CA,NEWARK,94560.0
OOSHIRTS INC DBA SCALABLE PRESS,1,CA,NEWARK,94560.0
OPAL GLOBAL LLC,1,ME,BELFAST,4915.0
OPAL RT CORPORATION,1,MI,BRIGHTON,48114.0
OPAL STONES INDUSTRIES,1,TX,HOUSTON,77037.0
OPALLIOS INC,4,CA,SANTA CLARA,95054.0
OPALSOFT INC,1,CA,SUNNYVALE,94086.0
OPAQUE SYSTEMS INC,1,CA,BERKELEY,94704.0
OPEDIA GROUP INC,1,CA,ALHAMBRA,91801.0
OPEL SYSTEMS,1,MI,TROY,48084.0
OPEL SYSTEMS INC,6,MI,TROY,48084.0
OPELOUSAS GENERAL HOSP AUTHORITY,1,LA,OPELOUSAS,70570.0
OPELOUSAS GENERAL HOSPITAL AUTHORI,1,LA,OPELOUSAS,70570.0
OPELOUSAS GENERAL HOSPITAL AUTHORITY A LOUISIANA PUBLIC TRUST D/B/A OPELOUSAS GENERAL HEALTH SYSTEM,1,LA,OPELOUSAS,70570.0
OPEN ACCESS TECHNOLOGY INTERNATIONAL INC DBA OATI,1,MN,MINNEAPOLIS,55418.0
OPEN ACCESS TECHNOLOGY INTL INC,4,MN,MINNEAPOLIS,55418.0
OPEN ANALYTICS LLC,1,VA,HERNDON,20171.0
OPEN AVENUES FOUNDATION,119,MA,BOSTON,2109.0
OPEN BOX LLC,1,NY,NEW YORK,10036.0
OPEN DATA NATION CO,1,PA,ALLENTOWN,18101.0
OPEN DATA SCIENCE INC,2,MA,CAMBRIDGE,2142.0
OPEN DEALER EXCHANGE LLC,1,MI,FARMINGTON HILLS,48334.0
OPEN DOOR CAPITAL ADVISORS US LLC,1,CA,SAN FRANCISCO,94105.0
OPEN ENERGY SOLUTIONS INC,1,CA,SANTA CLARA,95054.0
OPEN FINANCIAL TECHNOLOGIES INC,1,CA,SAN FRANCISCO,94108.0
OPEN INVEST CO,4,CA,SAN FRANCISCO,94103.0
OPEN IT LABS LLC,2,NJ,PARLIN,8859.0
OPEN LINES SPEECH AND COMM PLLC,1,NY,NEW YORK,10023.0
OPEN NETWORKING FDN,1,CA,MENLO PARK,94025.0
OPEN NETWORKING FOUNDATION,8,CA,MENLO PARK,94025.0
OPEN PHILANTHROPY PROJECT,9,CA,SAN FRANCISCO,94105.0
OPEN QUEUE LLC,1,AZ,MESA,85203.0
OPEN ROAD INTEGRATED MEDIA INC,7,NY,NEW YORK,10038.0
OPEN SOURCE ROBOTICS CORPORATION,1,CA,MOUNTAIN VIEW,94041.0
OPEN SPONSORSHIP CORP,1,NY,BROOKLYN,11226.0
OPEN SYLLABUS INC,1,NY,NEW YORK,10025.0
OPEN SYSTEMS INC,29,GA,ALPHARETTA,30005.0
OPEN SYSTEMS INTERNATIONAL INC,41,MN,MEDINA,55340.0
OPEN SYSTEMS OF SWITZERLAND LTD,1,CA,REDWOOD CITY,94063.0
"OPEN SYSTEMS TECHNOLOGIES DE, LLC",2,MI,GRAND RAPIDS,49504.0
OPEN SYSTEMS TECHNOLOGIES INC,11,NY,NEW YORK,10018.0
OPEN TEXT INC,3,MD,GAITHERSBURG,20878.0
OPEN WATER INTERNET INC,1,CA,SAN FRANCISCO,94111.0
OPENAI INC,2,CA,SAN FRANCISCO,94110.0
OPENAI L P,3,CA,SAN FRANCISCO,94110.0
OPENAI LP,12,CA,SAN FRANCISCO,94110.0
OPENBCI INC,1,NY,BROOKLYN,11222.0
OPENBOX SOLUTIONS INC,4,MI,ANN ARBOR,48108.0
OPENCLINICA LLC,2,MA,BOSTON,2109.0
OPENCLOUD IT SOLUTIONS INC,42,TX,FRISCO,75034.0
OPENCROWD INC,1,NY,NEW YORK,10003.0
OPENDOOR LABS INC,9,CA,SAN FRANCISCO,94104.0
OPENER LLC,1,CA,PALO ALTO,94303.0
OPENEYE SCIENTIFIC SOFTWARE INC,9,NM,SANTA FE,87508.0
OPENFIN INC,1,NY,NEW YORK,10004.0
OPENFUSION LLC,1,OK,LAWTON,73505.0
OPENGEAR INC,1,CA,SAN JOSE,95131.0
OPENGOV INC,6,CA,REDWOOD CITY,94063.0
OPENGROWTH LLC,3,CA,GILROY,95020.0
"OPENIGLOO, INC.",1,NY,BROOKLYN,11222.0
OPENLINK FINANCIAL LLC,1,NY,UNIONDALE,11556.0
OPENLOGIX CORPORATION,54,MI,BLOOMFIELD HILLS,48302.0
OPENMIND PLATFORM INC,1,NY,NEW YORK,10016.0
OPENMIND SOLUTIONS LLC,12,TX,HOUSTON,77002.0
OPENMIND TECHNOLOGIES INC,1,CA,FREMONT,94538.0
OPENPHONE TECHNOLOGIES INC,1,CA,SAN FRANCISCO,94107.0
OPENSOFT SYSTEM INC,1,GA,ALPHARETTA,30005.0
OPENSOURCE TECHNOLOGIES INC,1,PA,LANSDALE,19446.0
OPENSPEND INC,3,TX,ROUND ROCK,78664.0
OPENSTACK FOUNDATION,1,TX,AUSTIN,78704.0
OPENSYMMETRY LLC,1,TX,AUSTIN,78746.0
OPENTABLE INC,3,CT,STAMFORD,6902.0
OPENTECHS US CORPORATION,4,NJ,ROSELAND,7068.0
OPENTRONS LABWORKS INC,1,NY,BROOKLYN,11201.0
OPENVPN TECHNOLOGIES INC,1,CA,PLEASANTON,94588.0
OPENWATER SOFTWARE INC,1,VA,NORFOLK,23510.0
OPENWATER SOFTWARE LLC,1,VA,NORFOLK,23510.0
OPENWEB INC,1,NY,NEW YORK,10013.0
OPENX TECHNOLOGIES INC,1,CA,PASADENA,91101.0
